condition_id,seed,profile,m,k,topology,contact_prob,epoch_length,traffic_regime,attack_type,has_real_attack,approach,scenario,num_nodes,time_to_first_local_suspicion,time_to_median_local_suspicion,time_to_first_regional_coord,time_to_median_regional_coord,time_to_fleet_awareness,false_escalation_count,true_coord_hits,missed_coord_attacks,stale_pressure_events,total_bytes,total_merges,bytes_per_node,mean_packet_size,max_saturation_pct,steps_in_harmful_saturation,final_saturation_variance,degradation_under_malicious,layer_a_fp_rate,layer_a_campaign_recall,layer_a_sat_pct
58,50274,good_regime_192000,192000,13,ring,0.4,100,low_and_slow,distributed_campaign,True,exact_gossip,low_and_slow_good_regime_192000,12,9,11,17,19,11,0,12,0,336,16010652,4733,1334221.0,3382.7703359391508,95.0,382,0.0,0.0,,,
59,50274,good_regime_192000,192000,13,star_sparse,0.7,200,poison_heavy,poison_flood,True,ghost_meadow,poison_heavy_good_regime_192000,12,,,,,,0,0,0,0,184357432,3842,15363119.333333334,47984.75585632483,16.967092803030305,0,0.0017865578727616945,0.0,0.0,1.0,2.0140625
59,50274,good_regime_192000,192000,13,star_sparse,0.7,200,poison_heavy,poison_flood,True,local_only,poison_heavy_good_regime_192000,12,63,68,174,181,68,11,0,0,0,0,0,0.0,0.0,70.89090909090909,0,1.4214876033057864,0.0,,,
59,50274,good_regime_192000,192000,13,star_sparse,0.7,200,poison_heavy,poison_flood,True,exact_gossip,poison_heavy_good_regime_192000,12,41,45,140,144,45,11,0,0,51,1371290,3791,114274.16666666667,361.7225006594566,95.0,113,1.7315702479338788,0.0,,,
60,50274,good_regime_192000,192000,13,regional_mesh,0.15,300,collusion_3,coordinated_poison,True,ghost_meadow,collusion_3_good_regime_192000,12,,,,,,0,0,0,0,106643536,2236,8886961.333333334,47693.88908765653,22.155671296296298,0,0.03613679778592225,0.0,0.0,1.0,2.0140625
60,50274,good_regime_192000,192000,13,regional_mesh,0.15,300,collusion_3,coordinated_poison,True,local_only,collusion_3_good_regime_192000,12,63,68,174,179,68,9,0,0,35,0,0,0.0,0.0,95.0,75,1.1288888888888933,0.0,,,
60,50274,good_regime_192000,192000,13,regional_mesh,0.15,300,collusion_3,coordinated_poison,True,exact_gossip,collusion_3_good_regime_192000,12,9,16,26,37,16,9,0,0,403,6993108,2237,582759.0,3126.1099687080914,95.0,427,0.0,0.0,,,
61,50274,good_regime_192000,192000,13,partitioned_clusters,0.4,100,namespace_flood,namespace_flood,True,ghost_meadow,namespace_flood_good_regime_192000,12,18,19,72,74,19,11,0,0,16,541140320,11275,45095026.666666664,47994.70687361419,76.8136837121212,0,0.18931600271177879,0.0,0.0,1.0,2.0140625
61,50274,good_regime_192000,192000,13,partitioned_clusters,0.4,100,namespace_flood,namespace_flood,True,local_only,namespace_flood_good_regime_192000,12,63,68,,,68,0,0,0,0,0,0,0.0,0.0,36.54545454545455,0,1.4214876033057864,0.0,,,
61,50274,good_regime_192000,192000,13,partitioned_clusters,0.4,100,namespace_flood,namespace_flood,True,exact_gossip,namespace_flood_good_regime_192000,12,2,3,2,3,3,11,0,0,463,42313474,11293,3526122.8333333335,3746.876295050031,95.0,488,0.0,0.0,,,
